feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,feat_100,feat_101,feat_102,feat_103,feat_104,feat_105,feat_106,feat_107,feat_108,feat_109,feat_110,feat_111,feat_112,feat_113,feat_114,feat_115,feat_116,feat_117,feat_118,feat_119,label
-0.87574005,0.52233547,-0.023982372,-0.2161702,0.16233212,-0.1544929,-0.7443309,1.2735903,0.50965536,1.0602103,-0.52991843,0.9168477,-0.71410525,0.3161161,-0.018907208,-0.3492298,0.39370108,-0.4575401,-0.28642014,0.31872335,0.1403456,0.3184832,-1.5347656,1.222028,-0.20217091,-1.4299432,-1.5748483,-0.058989387,0.914393,0.40142483,-0.18542515,0.28161114,0.18812227,0.06856463,1.649642,0.18556316,1.2445693,-0.5532955,-0.23138048,-0.4545149,-1.9875778,0.12139034,1.0941881,-0.38425863,-0.15855508,2.4213057,0.8318856,-0.3546062,0.7708788,0.8149389,0.25549367,-2.656483,0.52949196,2.1756058,-1.0373285,0.1719257,-0.80823094,0.6103202,-0.27790073,-1.358961,0.85072887,0.9561279,-0.38824168,-0.37763432,-0.75953615,0.5781701,-0.7504483,-2.1560676,1.1689011,2.3580823,-0.15592064,0.6626659,-0.28125903,-0.102151774,-0.2967919,0.27550986,-0.11963033,-0.73161685,-0.8086033,-0.6825345,1.2279952,1.7960999,-0.0860944,0.36042508,-0.75787663,1.3592005,0.124786094,-1.951977,0.03792427,3.1884854,0.53218,1.0957333,-0.29218343,-0.3691636,0.02437216,0.5681996,-0.19640337,-0.72830194,-0.92096186,-0.47134605,2.4507322,0.42201495,-0.054859366,1.2082934,-0.6178564,0.9743609,-0.5326271,-1.9440542,-0.61045,2.8388393,-0.29721025,1.1882892,-0.6701026,-0.2635102,0.47907636,0.18740931,0.042173322,-0.7273226,-0.6287139,-0.6300645,03
-0.43606696,1.8100905,-0.35823628,0.5582219,0.38919842,0.14773516,-0.25064978,-0.54413795,0.987674,1.7958417,0.545756,1.5418702,-1.6590205,1.1382105,1.4178905,-1.1904161,1.1473708,0.20169331,-0.91637284,0.27018303,-0.037393928,-1.2946354,-1.227986,-1.4722068,0.024828576,1.0632393,1.170065,-0.6111331,-0.83679426,1.8561761,0.08041634,0.39344382,-0.3160921,-0.079057895,-0.15765493,0.14198455,0.28333014,0.44201642,1.4081589,-0.2426647,-1.8172153,0.5788423,2.921194,-1.9958762,-0.36867645,-0.2764533,3.7411761,4.825251,-2.0115764,-1.5394412,0.5110318,-1.3298924,1.1953349,-1.1199664,0.6875957,-0.80159366,-1.5121942,-0.12018171,0.78067565,-0.083354525,1.187337,1.3776666,-0.48726574,-0.51683325,-0.9661931,-1.0873365,1.4590926,0.4555825,1.1307423,1.5303674,0.58880025,-0.31188878,1.7178426,-0.4833635,-0.2814614,0.3749036,-0.22729006,-0.9382936,-0.75125617,-0.9721847,1.8066834,2.316757,-0.15571305,-0.3463737,-0.90372664,-1.4812808,1.8292936,0.087244205,0.632978,1.2673753,0.307521,-0.33563438,2.4772615,-0.38092,0.127874,0.8717254,0.12380895,-1.1456716,-1.0256813,-1.0193857,0.46460223,1.5761702,0.1116234,1.0760821,-1.0468782,-0.9484006,2.2653534,1.3474616,0.26791546,2.7295377,0.78406125,-0.97441995,0.9509528,-0.62986916,0.1201345,0.49451262,-0.62919223,-1.0609585,-0.6079104,-0.97755426,03
0.6687514,-0.5167142,-1.7992142,-0.5664894,-0.5388029,-0.4105605,-0.47073486,-0.5226506,0.30634543,0.3191348,-0.7087936,0.5482347,-0.81988716,-0.20822385,-0.24093421,-0.7569841,-0.5262717,-1.1944141,-0.4671841,-0.63209707,1.5760106,-0.606762,-0.715385,-0.49271622,-0.7153178,-0.59200615,-2.3699498,0.7732752,0.19964148,2.2308753,-0.11059904,0.012456855,1.9889987,-0.9338798,-1.4040434,1.4222219,0.5361595,-0.472886,0.11385868,0.06771357,-1.956144,0.9753573,1.620993,-1.7770202,0.7027359,2.872827,0.502228,-0.037896954,0.9389391,0.30649874,-1.0565302,-2.7542362,-0.91247565,1.1188788,-1.0590304,-1.1089456,-0.549063,1.5389866,-0.21787995,-0.99476683,1.1071358,0.10447984,0.9835367,0.2663808,-0.22745882,1.1057856,0.010947531,0.3741335,1.8494033,1.3557818,0.4824181,0.30421188,1.1835166,-0.3386218,0.3532377,-0.22224255,-0.04578453,-0.029696679,-0.13091864,-0.70416033,1.5792998,0.59241885,1.386755,0.872921,0.5673586,1.6200926,1.1587824,1.2419244,0.074953854,2.2679136,1.9823779,0.076786235,0.63328445,-0.75889146,0.48473373,-0.06069978,-0.10072516,0.2639331,-0.34961462,-0.6958907,1.1279353,-0.24099122,1.0597755,1.0064955,-0.0760243,2.5236316,0.3692466,0.06685315,1.2432361,1.2111864,1.3773605,0.10661194,1.4200367,-0.30590272,-0.45529717,0.38666826,-0.107481174,0.050383713,0.011042219,-0.73288214,03
-0.23047039,-0.39217553,-0.10657801,-1.2287607,0.3383962,-0.5294823,-0.3090395,-0.22624503,-0.72763914,-0.55355775,-0.7190203,-0.3718846,-1.905809,-0.09139453,-0.83197004,-0.73808026,0.92343783,-0.5643267,0.5603629,2.1977425,-0.92624736,-1.8499923,0.35226253,-1.6248854,-0.8384238,2.5201676,2.6937952,0.51065,-2.3413086,0.1472971,1.0593082,1.2705309,0.6922403,-1.3613017,0.2325898,0.68362164,-1.717286,0.47262013,0.6232471,0.021013457,-0.89482504,-0.4256708,0.5902672,1.8731816,1.2043356,-0.4590913,0.32161948,-0.9866652,-0.2160536,-1.2231807,-0.24934244,0.01746651,0.8072184,2.0914445,1.3318509,-0.25090334,0.6451352,0.18635747,1.0589713,1.5123451,-0.2956328,-0.86455333,-1.4196664,0.47424862,0.299332,1.7258719,1.5550953,-0.073703885,0.44355324,1.0268315,-0.9708789,0.58193237,-0.3011513,0.1412867,0.16762488,-0.5848979,-0.40198418,0.066450715,0.49090728,2.1583652,-0.9873822,-0.45104817,-1.452158,0.92916757,-0.3583957,1.048424,-0.14448345,-0.58423805,-0.1005555,1.4959311,-1.5822339,0.81339306,-0.9533055,0.2854263,-0.58569956,-0.7053752,-0.64269537,0.661554,0.97087264,2.284756,1.9859005,-0.88337463,-1.0124072,-0.049081698,0.8492552,1.1996192,1.9853128,-0.39447477,0.7721724,0.5604443,-0.32059318,-0.29318506,-0.1857738,-0.07083064,0.546387,-0.27419224,-0.6070866,0.19738476,1.1706074,1.969227,03
0.15505247,1.4755243,0.24522679,0.9660824,0.6028563,-0.087829314,-0.07371109,-0.81673104,0.23062581,0.55495226,-0.26684743,0.99470204,-0.9767598,0.09786396,1.1843991,-0.9384329,1.2710077,0.5434913,-0.8127282,1.0518667,-0.52082455,-0.10595768,0.6142729,-0.94644827,0.034895785,1.14836,2.5069368,-0.16262916,-2.958873,-0.37112978,1.3034388,0.46747145,-1.0002191,-3.09685,0.5128277,-0.4486947,0.79771817,0.84305644,1.6473125,0.1957481,-1.8843625,-0.9246533,-2.604845,1.0840994,-0.42070475,-1.5062095,1.8901614,0.41255817,2.402151,0.26620358,-1.6714457,2.7905931,0.37188923,-1.153913,-0.47434452,0.035654146,0.560825,-1.2193501,1.8786131,-0.25595686,0.6849336,0.3546361,-0.18297729,1.8549721,-0.025650373,0.26222226,2.5883305,-0.07773488,-1.1239171,-0.08069536,1.3389707,-0.13345003,0.37236893,-0.71373415,-0.7069843,-0.23471253,-0.8688433,-0.40231052,-0.55064285,-1.1056042,1.0341557,-0.27727664,-0.6742421,2.9170637,-0.4016743,0.39197335,1.103666,0.09327302,-1.8431435,0.8994372,1.4392648,-0.25912204,0.25792226,-0.87618065,-0.56911016,-0.23734407,-0.72319686,-0.42301187,-0.38533166,-1.1612016,-0.07767445,-0.059937485,-0.32836205,1.6483364,-0.88108367,-0.82857937,0.32679296,-0.3365845,0.055797987,-0.74485964,0.27772146,-0.094816715,0.5248933,-0.50270677,-0.7086576,0.08974204,-0.79138464,-0.6911325,-0.9899161,-1.1403925,03
0.063203804,0.8712614,1.0266088,0.748962,0.5852408,0.81551534,0.5747342,0.5824986,0.90433574,0.7896628,1.5800288,0.012215335,0.04619236,0.30352014,1.5627823,-0.079748675,0.30599222,0.94267887,-0.60339963,1.0124143,0.08825107,0.09518508,-0.035916768,-1.2500838,-0.054988194,0.2550301,0.48664972,-0.3208607,-2.3525074,-0.75691175,1.5156801,0.19042581,-1.4510385,-1.1820548,0.6783717,1.5575294,0.0045610606,0.5314666,1.7776434,1.3229595,-1.2143927,0.5993005,0.2521201,1.080121,-0.64712733,-1.4257088,1.0220169,0.37645757,0.30038056,-0.36647472,-1.9028085,1.0738528,0.21695408,-0.29646114,-0.97596574,-0.26313528,0.006113268,-1.3408694,1.2043654,-1.7423737,-0.1604034,1.8885808,-1.5656776,1.5735662,-0.41735834,-1.7974743,0.341885,-1.3452507,-0.39978424,-0.89078844,-0.2359896,-0.10167302,0.49767107,-0.5253367,-0.073661976,-0.22045067,-0.64221764,-0.78539884,0.032897245,-0.95962924,-0.110504314,1.4481795,-1.8374258,2.3029633,-0.8947714,-1.9714849,-0.18130817,-1.3072791,-1.265155,-1.1087384,-0.1389771,0.13715483,0.16533515,-0.39994842,-0.24147351,-0.058733545,-0.5891004,-0.777459,0.27966252,-1.0127875,-0.42950317,1.3913281,-1.3457627,1.1365194,-1.4152731,-1.694699,-0.8307685,-0.4164884,-0.42250136,-1.3409867,0.024593579,-0.39701,0.9119061,-0.20565683,-0.57606685,-0.55042356,-0.29342866,-0.3569816,0.18854448,-1.1007061,03
0.49276632,-1.1352221,-0.43703866,-0.14048819,0.020630965,-0.33560893,0.12012927,-0.47826615,-2.1258242,-0.37052912,-0.58335096,-0.56767815,-1.1491024,-0.35171652,-0.17701444,-0.47767565,-0.21365081,-0.77453744,-0.38416356,-0.1317678,-2.0576034,-1.1322969,2.2443578,-0.73352367,1.1735872,1.567017,2.0546055,0.99355686,0.4429006,-0.5049995,1.9494544,-0.72874165,-0.33858034,1.4749646,0.42117053,0.07472745,0.05901341,-0.30006832,1.5082835,-0.50201046,-1.2095755,-2.1340935,1.0575603,1.0844265,-0.7711517,0.7369457,-0.12663454,0.991624,0.65947926,-0.43612346,1.0322118,0.099934034,0.9489699,-1.3159248,0.63489807,0.83511096,1.1609851,1.0718818,-1.0841968,-0.19961105,0.49999708,-0.15008524,-0.11613564,1.087522,1.2649647,1.7004961,-1.1585659,-0.52088344,2.3863115,0.9688062,0.5827267,-0.6555857,0.32676643,-0.4892553,0.11663926,-0.15141258,-0.7858786,-0.26841107,-0.09615721,0.2035867,0.19660953,0.116630435,0.4420749,1.7643316,0.118645765,1.8348012,-1.3166639,-0.30748278,1.9666146,1.645698,-0.0917356,-0.26342353,0.078328505,-0.2275095,0.12884796,-0.22516619,-1.0724036,-0.16647719,0.30386132,0.5332715,1.567212,0.4209421,0.26483062,0.18006498,0.9492572,0.9367751,-0.8618964,-0.8838135,0.50060457,0.18166448,1.0780424,-1.8449703,-0.19116473,0.1645531,0.15341717,0.4262926,-0.59407943,0.446569,0.22308134,0.2152243,03
-0.2337193,-0.61085814,-1.6633189,-0.60775125,-0.34557915,-0.6973235,-0.98935264,-0.99439317,-1.675583,-0.9463685,0.82092184,-0.47691184,-2.6549695,-0.21726063,-0.58743095,-2.2424748,-0.30925575,-0.9148366,0.05112902,1.6220548,-2.7723093,-1.0511825,2.2137382,1.965129,1.7222677,0.10263856,2.0730355,1.116534,-0.4954684,-2.5382125,2.1629682,-0.9381554,0.48768142,-0.1802011,-0.032762125,3.1808581,-2.4038365,-2.2594218,1.1695348,1.2348623,-3.0632558,-0.6800868,0.47205174,1.7071282,-1.7616367,-1.1785449,0.003049034,1.1104387,0.93321043,-0.7284476,0.3180187,0.58765894,3.5868108,-0.97992826,0.23389134,2.0495646,-0.68510056,1.1475664,3.304929,0.41545957,1.5887629,-1.0168328,0.5796574,0.1834063,1.8918293,2.5715303,0.9840153,-0.8582418,0.47582948,0.20941675,-1.7358899,-1.058516,1.8875831,-0.04287447,0.6288794,0.120956205,0.43376753,-0.5785635,1.0979705,1.2931632,0.85300595,-0.53692365,0.6732055,0.107090846,-0.008943433,3.2169554,-0.19945677,-0.7904288,1.1902403,1.6527911,-1.4572736,-0.58466125,2.7570689,-0.0019641393,0.33019143,0.20459881,0.6720287,-0.23899814,1.4065698,1.8433604,1.5432422,-0.7886832,-0.115405634,-0.024340758,-0.11668078,0.6523477,-0.48301825,-2.1559331,-0.222992,1.0610651,-1.0727947,-0.69768965,2.5802195,-0.039091304,0.061652984,0.039839704,1.4292608,-0.25698513,1.7860414,2.1780345,03
0.9540189,-0.7124337,-0.22637275,-1.4647202,0.07254432,-0.3186196,-0.56853986,0.5059554,-0.97046804,-0.03237888,-1.0963216,-0.94081855,-0.98183346,-0.105721585,-1.7369726,-1.0194001,-0.9606015,-0.89777106,-0.6043858,-0.64726937,-1.3632363,-0.12031928,1.185049,1.7845769,0.41498694,0.8738598,-0.8759532,0.6867307,-1.2593842,-3.185786,-0.26521423,0.5392353,1.9172375,-2.4577086,-0.14343907,3.6456134,3.0839198,-1.1466839,2.0974858,1.5312978,-1.567642,-1.044454,-1.012962,-0.77949554,-0.31009766,-0.026086159,-0.15512995,2.3332174,2.1077704,4.10809,2.6248722,0.7714004,2.013171,3.110296,0.5709497,1.11232,-0.34023994,-0.6850407,2.2849307,0.17521504,0.44994572,-0.69388354,-0.09095417,-0.40530598,-1.130093,-1.3166006,0.20291522,-1.6643996,-0.62251425,1.1295781,-0.3735622,-1.0486901,-0.60485023,-0.35055268,-0.58172435,0.020410676,-0.66809374,-0.76449525,-0.94160885,-0.7233403,1.5218915,-1.1616389,-0.33744997,-0.39734694,-1.4547331,-1.1553444,1.0192819,-2.3232694,-0.9248308,0.45115426,0.626852,-0.9404728,-0.07540163,-0.58324534,-0.15493782,0.030670073,-0.3247404,-0.6782685,-0.92456,-0.6371095,-0.2220406,-0.45807913,-0.65629196,-0.82529366,-1.3310876,-1.7225778,-0.24799086,-0.83682525,0.30817735,1.6024781,-0.7600345,-1.7898085,-0.49450237,0.23168385,-1.6266587,0.020386301,-0.81193465,-0.77628267,-0.42241597,-0.6712601,03
-0.9704471,0.21871585,-0.52546966,-1.0939635,0.15610282,-0.43870577,-0.50789404,0.5314608,0.5245326,0.299292,-0.011865305,-0.33225787,-1.0988936,-0.55262864,0.10999543,-0.7484148,0.07813391,-0.2042512,-0.41160968,0.25080428,-1.4139043,-0.31596294,1.712327,2.632956,1.6821741,-0.05902667,-0.042904858,0.30498695,-1.8160396,-1.671449,-0.44706386,2.0959623,1.7774867,-0.29563797,0.9596805,0.4821828,-0.022733029,1.6725258,2.3662238,1.6708068,-1.9684597,-2.3114457,0.5392807,2.5824082,2.0877264,-0.11821438,0.34709167,0.4921115,1.3816259,1.4960141,0.49800932,2.220305,1.4322102,1.6915683,-0.2137841,1.0373938,1.6531739,1.4757706,2.9944215,1.237985,1.4803227,-0.5258551,0.9299056,1.6614332,0.43303904,0.5745174,1.6082034,0.23636378,-0.6854481,-0.4420363,1.0410573,-0.195268,1.2627314,-0.40147284,0.39923733,-0.3449202,-0.4493072,-0.22874822,-0.4905497,0.115815826,2.029647,-0.7624835,0.982953,0.9822422,0.2843607,0.7837832,2.6387181,-0.5933482,-1.09966,-0.13876984,0.9022407,-0.4177062,2.004591,-0.4343492,0.56665033,0.06782113,-0.25822467,-0.36512476,-0.43453297,0.20879728,2.9921908,-0.61466736,1.3732665,1.5369306,0.40973747,-0.101050265,0.931832,-0.47863582,0.0842722,0.28475493,0.25056368,-0.3234519,1.7141256,0.11065127,-0.6649334,-0.2428819,-0.08595914,-0.2144124,0.26469532,0.3402856,03
