,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-534.3164,-532.56024,-531.02783,-511.06033,-477.49762,-346.85077,-258.07068,-220.90556,-225.97253,-243.672,-246.32637,-248.47433,-254.8807,-259.233,-264.96588,-276.5404,-287.94995,-286.69437,-278.80728,-261.46414,-249.5431,-264.8364,-317.85416,-375.7392,-400.9384,-434.16342,-435.77975,-445.20657,-437.19003,-385.8177,-345.09738,-267.461,-188.63196,-153.65352,-126.23138,-108.4419,-101.471825,-113.53135,-149.9936,-165.09785,-140.25931,-123.08668,-105.33906,-112.79682,-149.60014,-170.74242,-199.17818,-209.16982,-226.56622,-260.9428
1,-271.52573,-267.03513,-267.00635,-277.74258,-295.0319,-284.94577,-253.87105,-252.24316,-293.67133,-301.41278,-261.03473,-221.26585,-199.54822,-195.0502,-194.75487,-197.97893,-253.28937,-301.213,-346.2743,-338.79874,-336.20163,-372.7977,-328.1348,-208.14523,-142.37181,-120.00216,-98.62007,-101.255516,-155.06023,-277.65298,-404.38962,-406.9245,-486.99796,-534.47253,-379.00388,-190.67403,-150.38965,-164.73732,-162.49184,-153.68753,-152.9171,-172.33089,-177.06563,-196.26863,-249.2635,-323.14923,-335.47455,-320.86755,-310.56778,-294.53326
2,-267.90872,-267.62442,-276.01926,-223.66568,-232.98523,-304.10406,-334.23615,-257.20703,-151.99591,-118.97902,-136.60048,-161.6247,-158.78505,-164.66692,-223.7633,-308.80045,-340.4534,-343.84448,-347.35904,-349.71582,-304.1024,-239.30843,-231.77803,-282.983,-402.14807,-466.91467,-494.55844,-521.9999,-530.744,-532.69763,-413.09674,-235.03702,-202.43152,-273.29025,-414.33798,-518.6611,-532.1263,-532.1893,-531.9924,-531.3408,-532.3041,-533.3241,-532.92615,-533.0226,-532.90955,-532.4916,-531.1014,-522.1865,-280.30444,-181.11227
3,-164.65935,-172.823,-168.74641,-161.59616,-163.98952,-171.20842,-159.37074,-152.98347,-132.2277,-120.1196,-134.37569,-169.27136,-198.0403,-188.60281,-194.8418,-260.86032,-336.14545,-290.62283,-259.61978,-258.8329,-283.1904,-267.91013,-265.79755,-281.68555,-310.94748,-347.3022,-429.42822,-297.54367,-206.72878,-201.36186,-201.01459,-184.32591,-161.06091,-173.94006,-212.60367,-259.61923,-342.12558,-364.5844,-362.81274,-407.29807,-432.00803,-390.8341,-357.9049,-361.37534,-381.4543,-394.0258,-360.41302,-265.28937,-239.4723,-274.17505
4,-299.486,-299.665,-302.4256,-309.43582,-314.3814,-336.97263,-381.1902,-391.3207,-401.1733,-412.0746,-423.5037,-445.63358,-466.69333,-496.48398,-520.6864,-528.9263,-530.5221,9.318071,11.7770195,13.717855,39.411274,65.25862,87.0471,91.95404,84.143936,71.03439,59.670715,51.01264,42.04035,29.895088,13.0275135,-4.562389,-25.13796,-35.53891,-35.665024,-31.612957,-6.9774694,31.550106,67.39132,102.979645,103.265915,98.479416,96.925964,91.9772,99.80801,102.854416,82.40823,86.75931,70.356705,82.209015
5,84.621826,85.13611,86.77031,93.76405,87.87793,68.999374,83.36121,96.93504,94.62915,95.21068,104.15344,96.9064,101.839584,84.52271,61.844734,35.21494,0.31894314,-20.450054,-22.733484,-17.709732,-17.518831,-18.955135,7.4669285,55.94686,87.124435,90.00369,64.77163,80.1388,85.21553,67.95285,45.69213,47.842934,82.68393,124.32424,114.1396,84.16954,96.58221,110.37752,114.868454,94.95507,92.06734,83.477295,70.5535,75.82576,94.48146,107.54373,104.29321,116.63481,116.36104,60.56318
6,9.07023,61.568947,100.44746,121.30983,131.10812,116.33452,91.72362,62.421204,38.33888,41.895897,53.503754,64.8299,83.08675,76.66766,77.60452,91.4338,114.516235,138.944,144.60168,125.98889,125.44499,120.64963,103.44124,106.47366,87.13626,103.048004,122.13727,130.14362,122.510284,124.65241,131.84242,133.52997,99.71634,62.571106,59.79353,61.068405,68.91803,112.74278,123.38344,132.2016,133.89262,124.80888,94.30204,62.21443,26.169294,14.2535715,11.582709,-16.04881,23.155703,50.764847
7,74.79471,99.370285,28.794773,12.342142,12.241804,12.522524,13.4761915,12.104303,10.66191,11.232344,11.106039,11.252896,11.812017,13.77171,13.032911,28.115871,59.024582,60.33033,60.42901,85.43737,125.14154,135.02736,126.37865,128.26767,124.62314,141.05711,156.82022,150.1311,137.79724,129.00008,126.998314,136.79541,141.18657,136.94986,144.52078,163.96448,163.17902,152.15054,106.596146,55.654175,6.249183,-30.902704,-39.460148,-40.377033,27.668615,47.094013,51.18886,73.24414,100.444275,103.34233
8,75.26834,57.9309,72.958755,94.307465,116.34563,139.05545,127.89132,113.46977,133.4298,133.50919,116.65778,108.01982,102.40376,77.42888,58.01467,67.885414,71.85591,65.176346,64.035835,62.27717,62.18347,76.97986,101.44465,117.97852,121.92455,117.5408,106.558846,93.49213,74.123055,59.01632,39.10949,22.490402,15.808546,14.544355,9.264507,11.650312,12.952763,31.700993,36.98856,-1.0938532,-7.7986884,-16.04302,-30.614975,-28.825724,-19.619307,-9.16396,-6.0879316,-12.7477,-17.9324,-27.495943
9,-36.277637,-36.189674,-31.94385,-18.045534,-5.7293015,-9.809725,-11.13503,-6.543166,20.286484,41.620636,31.98396,46.128086,41.56976,3.2753797,-8.183447,-35.18656,-64.70613,-82.26992,-90.16591,-96.65447,-108.29997,-113.13376,-112.47371,-91.11489,-79.68056,-91.30102,-126.20735,-126.814575,-113.977486,-98.152176,-68.11026,-38.369133,-29.97541,-37.25522,-60.126514,-69.43509,-64.28804,-58.14246,-51.840843,-27.0078,-5.935131,-14.063625,-23.856964,-22.525106,-16.04077,-24.888088,-48.28102,-67.75238,-75.76776,-77.631004
